"序号","英文名","国别","编号","时间","机构","主要内容","主要内容_zh","关键词","关键词_zh","主题词","主题词_zh","item_en","item_zh","title","url","type","source","topic","matrix_topics","authors","author_affiliations","topics","tags"
"434","Belfer Center for Science and International Affairs","USA","09f96496fe35","2016-05-02T12:00:00Z","Belfer Center","The article features an interview with Farah Pandith, a senior fellow at the Belfer Center and former U.S. Special Representative to Muslim Communities. She discusses strategies to counter violent extremism, particularly among Muslim youth. Pandith, a diplomatic entrepreneur, has held roles across multiple U.S. administrations and currently chairs a Homeland Security Advisory Council subcommittee on countering violent extremism (CVE). Her work focuses on creating new organizations and initiatives, such as Halcyon, which mobilizes youth against extremist ideologies. The discussion centers on innovative diplomatic and community engagement approaches to address the root causes of radicalization.","本文基于对法拉·潘迪思的采访，她是贝尔弗中心高级研究员、美国国务院首任穆斯林社区特使。文章重点讨论如何遏制暴力极端主义的蔓延，尤其是在穆斯林青年群体中。潘迪思是一位外交企业家，曾在多位美国总统任内担任职务，目前主持国土安全咨询委员会的反暴力极端主义小组委员会。她的工作核心是通过创建新的组织和项目，例如共同创立的Halcyon全球组织，来动员青年对抗极端意识形态。访谈探讨了运用创新外交和社区参与策略，从根源上应对激进化挑战。","countering violent extremism; CVE; diplomatic entrepreneur; Muslim communities; radicalization; youth mobilization; Homeland Security Advisory Council; HSAC; special representative; Belfer Center; Halcyon; extremist ideologies; foreign policy strategist; political appointee; Secretary's Distinguished Honor Award; engagement; terrorism; diplomacy; strategic advisor","反暴力极端主义; CVE; 外交企业家; 穆斯林社区; 激进化; 青年动员; 国土安全咨询委员会; HSAC; 特使; 贝尔弗中心; Halcyon; 极端主义意识形态; 外交政策战略家; 政治任命; 部长杰出荣誉奖; 接触参与; 恐怖主义; 外交; 战略顾问","Counterterrorism; Diplomacy; Youth Engagement; Policy Strategy; Radicalization","反恐; 外交; 青年参与; 政策战略; 激进化","","","Farah Pandith on Office Hours","https://www.belfercenter.org/publication/farah-pandith-office-hours","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Jay Mens","","Diplomacy; Islam; Terrorism & Counterterrorism","Diplomacy; Islam; Middle East & North Africa; North America; South Asia; Terrorism & Counterterrorism"
"435","Belfer Center for Science and International Affairs","USA","560df03025ca","2023-11-26T12:00:00Z","Belfer Center","The article examines Belgium's structural vulnerabilities in counterterrorism following the March 2016 attacks, contrasting it with France's centralized security apparatus. It argues that Belgium's deep internal divisions between the Flemish and Walloon communities, including linguistic and historical tensions, undermine its governance and security coordination. The piece traces Belgium's origins as a buffer state and discusses contemporary separatist sentiments, noting polling that shows significant support in Wallonia for joining France if Belgium dissolves. The analysis suggests these internal fractures critically impair the state's capacity to effectively confront threats from groups like ISIS.","本文探讨了2016年3月恐怖袭击后比利时在反恐方面的结构性弱点，并将其与法国中央集权的安全体系进行对比。文章认为，比利时弗拉芒和瓦隆社群之间深刻的内部裂痕——包括语言和历史紧张关系——削弱了其治理与安全协调能力。文章追溯了比利时作为缓冲国的起源，并讨论了当代的分离主义情绪，指出民调显示如果比利时解体，瓦隆地区有显著比例的人口支持加入法国。分析表明，这些内部裂痕严重损害了比利时应对如 ISIS 等组织威胁的能力。","Belgium; terrorist attacks; ISIS; counterterrorism; Flemish; Walloons; linguistic divisions; centralized government; security apparatus; separatism; independence movement; buffer state; governance; internal security; propaganda; recruitment; institutional crisis; Paris attacks; historical tensions","比利时; 恐怖袭击; 伊斯兰国; 反恐; 弗拉芒人; 瓦隆人; 语言分裂; 中央集权政府; 安全机构; 分离主义; 独立运动; 缓冲国; 治理; 国内安全; 宣传; 招募; 制度危机; 巴黎袭击; 历史紧张关系","Counterterrorism; Belgian Politics; Ethnolinguistic Divisions; Security Governance; European Security","反恐; 比利时政治; 民族语言分裂; 安全治理; 欧洲安全","","","What is Belgium Anyway?","https://www.belfercenter.org/publication/what-belgium-anyway","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Jay Mens","","Governance; History; International Relations; International Security & Defense; Terrorism & Counterterrorism","Europe; Governance; History; International Relations; International Security & Defense; International Security Program; Terrorism & Counterterrorism"
"436","Belfer Center for Science and International Affairs","USA","b70213434f85","2016-04-04T12:00:00Z","Belfer Center","Matthew Bunn, a Professor of Practice at Harvard University's John F. Kennedy School of Government, focuses his research on nuclear theft, terrorism, proliferation, and the future of nuclear energy and its fuel cycle. Prior to his academic role, he served as an adviser to the Office of Science and Technology Policy, significantly contributing to U.S. policies on controlling weapons-usable nuclear materials in the U.S. and the former Soviet Union. He also directed a classified study for President Clinton concerning nuclear material security in Russia. His expertise spans critical areas of nuclear security and non-proliferation policy.","马修·邦恩是哈佛大学肯尼迪政府学院的实践教授，其研究兴趣包括核盗窃与核恐怖主义、核扩散及其控制措施、核能及其燃料循环的未来，以及促进能源技术创新的政策。在1997年加入肯尼迪学院之前，他曾担任白宫科技政策办公室顾问三年，在美国及前苏联武器级核材料的控制与处置相关政策制定中发挥了重要作用，并为克林顿总统主导了一项关于俄罗斯核材料安全的秘密研究。他的专业领域涵盖了核安全与防扩散政策的关键议题。","nuclear theft; nuclear terrorism; nuclear proliferation; non-proliferation; nuclear energy; fuel cycle; weapons-usable nuclear materials; Office of Science and Technology Policy; former Soviet Union; nuclear material security; nuclear security; deterrence; disarmament; nuclear weapons; policy innovation; energy technology; arms control; nuclear restraint; public opinion","核盗窃; 核恐怖主义; 核扩散; 防扩散; 核能; 燃料循环; 武器级核材料; 科技政策办公室; 前苏联; 核材料安全; 核安全; 威慑; 裁军; 核武器; 政策创新; 能源技术; 军备控制; 核克制; 公众舆论","Nuclear Security; Non-Proliferation; Nuclear Policy; Energy Technology; Arms Control","核安全; 防扩散; 核政策; 能源技术; 军备控制","","","Matthew Bunn on Office Hours Podcast","https://www.belfercenter.org/publication/matthew-bunn-office-hours-podcast","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Lauren Sukin, J. Luis Rodriguez; Stephen Herzog","","India's Nuclear Program; Iran's Nuclear Program; North Korea Nuclear Program; Nuclear Issues; Nuclear Terrorism; Nuclear Weapons","Asia & the Pacific; India's Nuclear Program; Iran's Nuclear Program; Middle East & North Africa; North America; North Korea Nuclear Program; Nuclear Issues; Nuclear Terrorism; Nuclear Weapons"
"437","Belfer Center for Science and International Affairs","USA","f3e90ad3ef43","2016-04-04T12:00:00Z","Belfer Center","The article features an interview with Matthew Bunn, a Professor of Practice at Harvard Kennedy School and Co-Principal Investigator of the Belfer Center's Project on Managing the Atom. He discusses a wide range of nuclear issues, including the nuclear football, nuclear smuggling prevention, dirty bombs, the ageless nature of nuclear weapons, and the case of A.Q. Khan. Bunn's expertise covers nuclear theft and terrorism, nuclear proliferation controls, the future of nuclear energy, and policies for energy technology innovation. His background includes serving as an adviser to the U.S. Office of Science and Technology Policy, where he contributed significantly to policies on securing weapons-usable nuclear materials in the U.S. and the former Soviet Union and directed a classified study for President Clinton on nuclear material security in Russia.","本文是对哈佛大学肯尼迪政府学院实践教授、贝尔弗中心“管理原子”项目联合首席研究员马修·邦的访谈摘要。访谈涵盖了广泛的核议题，包括核足球、防止核走私的最佳方式、脏弹、核武器的持久性以及A.Q.汗案例。邦的研究兴趣涉及核盗窃与恐怖主义、核扩散及其控制措施、核能未来及其燃料循环，以及促进能源技术创新的政策。在1997年加入肯尼迪学院之前，他曾在美国白宫科技政策办公室担任顾问三年，在美国及前苏联武器级核材料的控制与处置相关政策制定中发挥了重要作用，并为克林顿总统主导了一项关于俄罗斯核材料安全的秘密研究。","Matthew Bunn; Harvard Kennedy School; Belfer Center; Project on Managing the Atom; nuclear theft; nuclear terrorism; nuclear proliferation; nuclear smuggling; dirty bomb; nuclear football; weapons-usable nuclear materials; Office of Science and Technology Policy; former Soviet Union; A.Q. Khan; nuclear security; nuclear energy; fuel cycle; energy technology innovation; nuclear weapons","马修·邦; 哈佛肯尼迪学院; 贝尔弗中心; 管理原子项目; 核盗窃; 核恐怖主义; 核扩散; 核走私; 脏弹; 核足球; 武器级核材料; 科技政策办公室; 前苏联; A.Q.汗; 核安全; 核能; 燃料循环; 能源技术创新; 核武器","Nuclear Security; Nuclear Terrorism; Nuclear Proliferation; Nuclear Policy; Weapons of Mass Destruction","核安全; 核恐怖主义; 核扩散; 核政策; 大规模杀伤性武器","","","Matthew Bunn on Office Hours","https://www.belfercenter.org/publication/matthew-bunn-office-hours","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Matthew Bunn","","Nuclear Issues; Nuclear Security; Nuclear Terrorism","North America; Nuclear Issues; Nuclear Security; Nuclear Terrorism"
"438","Belfer Center for Science and International Affairs","USA","eb7caf031eb0","2025-12-16T12:00:00Z","Belfer Center","The article criticizes Israeli Prime Minister Netanyahu's approach to U.S.-Israel relations, particularly regarding military aid negotiations and diplomatic conduct. It notes that Israel has received over $120 billion in U.S. aid and is negotiating a new ten-year package to replace the expiring $3 billion annual military assistance. President Obama agreed to increase annual aid significantly despite U.S. budget cuts. However, Netanyahu responded by demanding $5 billion annually, rejecting a $4 billion proposal, and canceling a meeting with Obama. The author argues this reflects poor understanding of American politics, noting that neither a potential Trump nor Clinton administration would be more favorable. Trump has expressed neutrality on Israel-Palestine and made controversial remarks to Jewish donors, while Clinton and Democrats are frustrated with Netanyahu's Palestinian policies. The piece warns that continued confrontational tactics risk damaging the bilateral relationship and that a reckoning on Palestinian issues is approaching regardless of the U.S. election outcome.","本文批评以色列总理内塔尼亚胡处理美以关系的方式，特别是在军事援助谈判和外交行为方面。文章指出，以色列已获得超过1200亿美元的美国援助，目前正在谈判一项新的十年期援助计划，以取代即将到期的每年30亿美元军事援助。尽管美国预算削减，奥巴马总统仍同意大幅增加年度援助。然而，内塔尼亚胡的反应是要求每年50亿美元，拒绝每年40亿美元的提议，并取消了与奥巴马的会晤。作者认为这反映出对美国政治的理解不足，指出无论是潜在的特朗普政府还是克林顿政府都不会更有利。特朗普已表示在巴以问题上保持中立，并对犹太捐助者发表争议性言论，而克林顿和民主党人对内塔尼亚胡的巴勒斯坦政策感到失望。文章警告，持续的对抗性策略可能损害双边关系，且无论美国大选结果如何，巴勒斯坦问题上的清算时刻即将来临。","U.S.-Israel relations; military aid; Netanyahu; Obama administration; foreign aid negotiations; two-state solution; Iran nuclear deal; diplomatic friction; U.S. foreign policy; Middle East security; budget constraints; Democratic Party; Republican Party; presidential election; Palestinian issue; bilateral ties; strategic alliance; diplomatic protocol; aid package; leverage tactics","美以关系; 军事援助; 内塔尼亚胡; 奥巴马政府; 对外援助谈判; 两国方案; 伊朗核协议; 外交摩擦; 美国外交政策; 中东安全; 预算限制; 民主党; 共和党; 总统选举; 巴勒斯坦问题; 双边关系; 战略联盟; 外交礼仪; 援助计划; 杠杆策略","U.S. Foreign Policy; International Aid; Diplomatic Relations; Middle East Politics; Security Assistance","美国外交政策; 国际援助; 外交关系; 中东政治; 安全援助","","","The Mouse That Roared—Once Too Often","https://www.belfercenter.org/publication/mouse-roared-once-too-often","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Stephen Herzog","","Governance; International Relations; International Security & Defense; U.S. Foreign Policy; U.S. domestic politics","Governance; International Relations; International Security & Defense; International Security Program; Middle East & North Africa; North America; U.S. Foreign Policy; U.S. domestic politics"
"439","Belfer Center for Science and International Affairs","USA","dabcc6d87186","2016-03-01T12:00:00Z","Belfer Center","The article profiles Richard Zeckhauser, the Frank P. Ramsey Professor of Political Economy at Harvard University's Kennedy School. It details his academic credentials, including his summa cum laude graduation and Ph.D. from Harvard, and his election as a fellow to several prestigious societies. His significant contributions to decision theory and behavioral economics are highlighted, including the development of concepts like quality-adjusted life years (QALYs), status quo bias, and betrayal aversion. His policy work focuses on improving human health, enhancing market efficiency, and fostering better decision-making by individuals and governments. Beyond academia, Zeckhauser is noted for his role as a Senior Principal at a real estate private equity firm and his achievements as a national champion in contract bridge.","本文介绍了哈佛大学肯尼迪学院弗兰克·P·拉姆齐政治经济学教授理查德·泽克豪泽。文章详述了他的学术背景，包括以最优等成绩从哈佛学院毕业并获得哈佛大学博士学位，以及他当选为计量经济学会、美国国家医学院和美国艺术与科学院院士等荣誉。文章重点强调了他对决策理论和行为经济学的重大贡献，包括提出了质量调整生命年、现状偏见、背叛厌恶等关键概念。他的政策研究致力于促进人类健康、提高市场效率以及推动个人和政府机构做出更明智的决策。除了学术成就，文章还提及了他在一家房地产私募股权公司担任高级负责人的职业角色，以及他作为全国桥牌冠军的成就。","Richard Zeckhauser; Political Economy; Harvard University; Decision Theory; Behavioral Economics; Quality-Adjusted Life Years; QALYs; Status Quo Bias; Betrayal Aversion; Risk and Uncertainty; Policy Analysis; Market Efficiency; Public Health; Kennedy School; Econometric Society; American Academy of Arts and Sciences; Private Equity; Contract Bridge","理查德·泽克豪泽; 政治经济学; 哈佛大学; 决策理论; 行为经济学; 质量调整生命年; 现状偏见; 背叛厌恶; 风险与不确定性; 政策分析; 市场效率; 公共健康; 肯尼迪学院; 计量经济学会; 美国艺术与科学院; 私募股权; 桥牌","Economics; Behavioral Science; Public Policy; Academic Profile; Decision Making","经济学; 行为科学; 公共政策; 学者简介; 决策制定","","","Richard Zeckhauser on Office Hours Podcast","https://www.belfercenter.org/publication/richard-zeckhauser-office-hours-podcast","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Alexandra Middleton","","Economics & Global Affairs","Economics & Global Affairs; North America"
"440","Belfer Center for Science and International Affairs","USA","9b00ec85cae7","2016-03-01T12:00:00Z","Belfer Center","The article features an interview with Richard Zeckhauser, the Frank P. Ramsey Professor of Political Economy at Harvard Kennedy School. The conversation covers a wide range of his professional and personal interests, including behavioral economics concepts like testing optimism and 'paltering,' as well as practical policy advice such as saving the Air Force money. It highlights his academic background, his status as an elected fellow of several prestigious societies, and his key contributions to decision theory, including the development of quality-adjusted life years (QALYs), status quo bias, and betrayal aversion. His work focuses on improving human health, market efficiency, and informed decision-making by individuals and governments. Beyond academia, his roles as a real estate private equity principal and a national champion bridge player are noted.","本文是对哈佛大学肯尼迪学院政治经济学教授理查德·泽克豪泽的访谈介绍。访谈内容广泛，涵盖其专业领域及个人兴趣，包括行为经济学概念，如测试乐观情绪和“模糊欺骗”，以及为空军节省开支等实际政策建议。文章概述了他的学术背景，提及他当选计量经济学会、美国国家医学院和美国艺术与科学院院士的荣誉，并强调了他对决策理论的重要贡献，包括质量调整生命年、现状偏见和背叛厌恶等概念的提出。他的研究工作主要致力于改善人类健康、提升市场效率以及促进个人与政府机构做出明智决策。文章还提到了他在学术之外的成就，包括担任房地产私募股权公司的主要负责人以及多次获得全国桥牌冠军。","Richard Zeckhauser; Political Economy; Harvard Kennedy School; Behavioral Economics; Decision Theory; Quality-Adjusted Life Years; Status Quo Bias; Betrayal Aversion; Risk Assessment; Optimism; Paltering; Policy Investigations; Market Efficiency; Health Policy; Collaborative Governance; Econometric Society; American Academy of Arts and Sciences; Private Equity; Contract Bridge","理查德·泽克豪泽; 政治经济学; 哈佛肯尼迪学院; 行为经济学; 决策理论; 质量调整生命年; 现状偏见; 背叛厌恶; 风险评估; 乐观主义; 模糊欺骗; 政策研究; 市场效率; 健康政策; 协同治理; 计量经济学会; 美国艺术与科学院; 私募股权; 合约桥牌","Behavioral Economics; Decision Theory; Policy Analysis; Academic Interview; Personal Profile","行为经济学; 决策理论; 政策分析; 学术访谈; 人物简介","","","Richard Zeckhauser on Office Hours","https://www.belfercenter.org/publication/richard-zeckhauser-office-hours","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Alexandra Middleton","","Economics & Global Affairs","Economics & Global Affairs; North America"
"441","Belfer Center for Science and International Affairs","USA","e7ff3985832a","2023-11-26T12:00:00Z","Belfer Center","The article discusses France's response to the severe terrorist attacks of 2015, which targeted symbols of French lifestyle and culture. It highlights France's dual identity as a haven for foreigners and a state with a strong, centralized security tradition. The nation's significant Muslim population and its strict policy of laïcité, which includes banning religious symbols like the hijab in public, are presented as factors contributing to social tensions and potential resentment. In response to the threat from radical Islam, France is implementing repressive security measures, including extending a state of emergency and proposing a constitutional amendment to strip dual nationals involved in terrorism of their French citizenship. This proposed amendment has sparked significant domestic debate, particularly over concerns it creates a two-tiered citizenship system. The author suggests these measures may not deter hardened jihadists but could influence potential 'jihadi-lites' by threatening deportation and loss of nationality.","本文探讨了法国对2015年严重恐怖袭击的应对措施，这些袭击针对的是法国生活方式和文化的象征。文章强调了法国作为外国人避难所和拥有强大中央集权安全传统国家的双重身份。法国拥有西欧国家中比例最高的穆斯林人口，其严格的政教分离政策（包括在公共场所禁止佩戴伊斯兰头巾等宗教标志）被认为是加剧社会紧张和潜在不满的因素。为应对激进伊斯兰主义的威胁，法国正在实施压制性安全措施，包括延长紧急状态，并提出一项宪法修正案，旨在剥夺涉及恐怖主义的双重国籍者的法国公民身份。这项拟议的修正案在国内引发了激烈争论，尤其是担心它会制造一个两级公民制度。作者认为，这些措施可能无法威慑最顽固的圣战分子，但可能会影响那些受诱惑想加入恐怖组织的“轻度圣战者”，因为这意味着不仅失去法国国籍，还可能被驱逐回原籍国甚至面临逮捕。","terrorist attacks; Charlie Hebdo; Bataclan; radical Islam; laïcité; secularism; hijab ban; state of emergency; constitutional amendment; dual citizenship; French nationality; deportation; security apparatus; Republican Security Companies; jihadists; counterterrorism; political correctness; social tensions; immigrants; citizenship stripping","恐怖袭击; 查理周刊; 巴塔克兰剧院; 激进伊斯兰主义; 政教分离; 世俗主义; 头巾禁令; 紧急状态; 宪法修正案; 双重国籍; 法国国籍; 驱逐出境; 安全机构; 共和国保安连队; 圣战分子; 反恐; 政治正确; 社会紧张; 移民; 剥夺公民身份","Counterterrorism Policy; French Security; Citizenship & Nationality; Radicalization; Social Integration","反恐政策; 法国安全; 公民身份与国籍; 激进主义; 社会融合","","","France Seeks to Deter the 'Jihadi-Lites'","https://www.belfercenter.org/publication/france-seeks-deter-jihadi-lites","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Jay Mens","","Governance; International Security & Defense; Terrorism & Counterterrorism","Europe; Governance; International Security & Defense; International Security Program; Terrorism & Counterterrorism"
"442","Belfer Center for Science and International Affairs","USA","2a61e69cde62","2016-01-19T12:00:00Z","Belfer Center","The article profiles historian Niall Ferguson, highlighting his academic positions at Harvard University, the Hoover Institution at Stanford, and Tsinghua University. It details his role as co-chair of the Belfer Center's Applied History Project and provides a comprehensive list of his published works. These include notable books such as 'Paper and Iron,' 'Virtual History,' 'The Pity of War,' 'The World's Banker,' 'The Cash Nexus,' 'Empire,' 'Colossus,' 'The War of the World,' 'The Ascent of Money,' 'Civilization: The West and the Rest,' and 'The Great Degeneration.' The text serves as a biographical and bibliographic overview of his career and scholarly contributions to the field of history.","本文介绍了历史学家尼尔·弗格森，概述了他在哈佛大学、斯坦福大学胡佛研究所以及清华大学担任的学术职务。文中强调了他共同主持贝尔弗科学与国际事务中心应用历史项目的角色，并详细列举了他的著作。这些著作包括《纸与铁》、《虚拟历史》、《战争的悲悯》、《世界银行家》、《金钱关系》、《帝国》、《巨人》、《世界战争》、《货币崛起》、《文明：西方与其他国家》以及《大退化》。文章主要提供了其职业生涯和学术贡献的传记性与文献性概述。","Niall Ferguson; Applied History Project; Harvard University; Hoover Institution; Tsinghua University; Belfer Center; Paper and Iron; Virtual History; The Pity of War; The World's Banker; The Cash Nexus; Empire; Colossus; The War of the World; The Ascent of Money; Civilization; The Great Degeneration; History; Historian; Senior Fellow","尼尔·弗格森; 应用历史项目; 哈佛大学; 胡佛研究所; 清华大学; 贝尔弗中心; 纸与铁; 虚拟历史; 战争的悲悯; 世界银行家; 金钱关系; 帝国; 巨人; 世界战争; 货币崛起; 文明; 大退化; 历史; 历史学家; 高级研究员","Biography; Academic Career; Historical Publications; Applied History","人物传记; 学术生涯; 历史著作; 应用历史","","","Niall Ferguson on Office Hours Podcast","https://www.belfercenter.org/publication/niall-ferguson-office-hours-podcast","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Oliver Yule-Smith","","History","Applied History Project; Europe; History; North America"
"443","Belfer Center for Science and International Affairs","USA","13ba6c166fa6","2016-01-19T12:00:00Z","Belfer Center","The article features an interview with Niall Ferguson, Laurence A. Tisch Professor of History at Harvard University, discussing his biography of Henry Kissinger titled 'Kissinger: 1923-1968: The Idealist.' The conversation covers diverse topics, including Ferguson's characterization of Kissinger as a 'secret swinger,' historical comparisons between ISIS and the Bolsheviks, and the question of potential conflict between China and America. Ferguson's academic background and prolific writing career are detailed, highlighting his role as co-chair of the Belfer Center's Applied History Project with Graham Allison. The piece notes his numerous authored books, such as 'The Pity of War,' 'The World’s Banker,' 'Empire,' 'Colossus,' 'The Ascent of Money,' and 'Civilization: The West and the Rest,' which have received critical acclaim and awards like the Wadsworth Prize for Business History.","本文是对哈佛大学劳伦斯·A·蒂施历史学教授尼尔·弗格森的访谈。访谈围绕其著作《基辛格：1923-1968：理想主义者》展开，探讨了多个议题，包括弗格森将基辛格描述为“秘密摇摆者”、对ISIS与布尔什维克的历史比较，以及中美之间发生冲突的可能性。文章详细介绍了弗格森的学术背景和丰富的著述生涯，强调了他与格雷厄姆·艾利森共同担任贝尔弗中心应用历史项目联合主席的角色。文中列举了他的多部著作，如《战争的悲悯》、《世界银行家》、《帝国》、《巨人》、《货币崛起》和《文明：西方与其他国家》等，这些作品获得了评论界的好评，并赢得了诸如商业史沃兹沃思奖等奖项。","Niall Ferguson; Henry Kissinger; Applied History Project; Belfer Center; Harvard University; ISIS; Bolsheviks; China-US relations; historical biography; The Idealist; Laurence A. Tisch Professor; Graham Allison; The Pity of War; The World's Banker; Wadsworth Prize; Hoover Institution; Tsinghua University; Virtual History; counterfactuals; geopolitics","尼尔·弗格森; 亨利·基辛格; 应用历史项目; 贝尔弗中心; 哈佛大学; ISIS; 布尔什维克; 中美关系; 历史传记; 理想主义者; 劳伦斯·A·蒂施教授; 格雷厄姆·艾利森; 战争的悲悯; 世界银行家; 沃兹沃思奖; 胡佛研究所; 清华大学; 虚拟历史; 反事实推理; 地缘政治","History; Biography; Geopolitics; Applied History; International Relations","历史; 传记; 地缘政治; 应用历史; 国际关系","","","Niall Ferguson on Office Hours","https://www.belfercenter.org/publication/niall-ferguson-office-hours","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Oliver Yule-Smith","","History","Applied History Project; Europe; History; North America"
"444","Belfer Center for Science and International Affairs","USA","bcbe7a469a1d","","Belfer Center","The article discusses the response to the November 2015 Paris attacks, highlighting a departure from typical media disclaimers. It notes that France's leading newspaper, Le Monde, argued in an editorial that military and security measures alone are insufficient to defeat jihadism. The editorial posits that the threat stems from a pathology within Islam itself and that Islamism, as a totalitarian ideology, must ultimately be confronted and defeated by Muslims. The core argument is that lasting change and the defeat of extremist ideology require internal recognition and action from the Muslim community, particularly in rejecting the violence committed in its name.","本文围绕2015年11月巴黎恐怖袭击事件后的舆论反应展开。文章指出，法国主流报纸《世界报》在其社论中打破了惯常的免责声明，并未简单宣称不应谴责整个伊斯兰教。相反，社论认为，仅靠军事、特种部队、警察和情报手段无法战胜圣战主义。其核心论点是，伊斯兰国的瓦解并不足够，因为问题根源在于伊斯兰内部的一种病态，而伊斯兰主义作为一种极权主义意识形态，必须由穆斯林自身来击败。文章强调，除非广大穆斯林充分认识到以他们名义杀害无辜者的恐怖行径，并采取行动，否则将永无宁日。","Islam; jihadism; terrorist action; Paris attacks; Le Monde; editorial; pathology; totalitarian ideology; Islamism; Islamic State; military; special forces; police; intelligence; Muslims; internal change; extremist ideology; innocent people; defeat","伊斯兰教; 圣战主义; 恐怖行动; 巴黎袭击; 世界报; 社论; 病态; 极权主义意识形态; 伊斯兰主义; 伊斯兰国; 军事; 特种部队; 警察; 情报; 穆斯林; 内部变革; 极端主义意识形态; 无辜者; 击败","Terrorism; Islam; Political Ideology; Media Commentary; Counterterrorism","恐怖主义; 伊斯兰教; 政治意识形态; 媒体评论; 反恐","","","Change in Islam Must Come from the Muslims Themselves","https://www.belfercenter.org/publication/change-islam-must-come-muslims-themselves","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","","","","Europe; International Security Program"
"445","Belfer Center for Science and International Affairs","USA","d24e5518683d","2015-12-10T12:00:00Z","Belfer Center","Juliette Kayyem is a security expert with over 15 years of experience managing complex policy initiatives and government crisis responses. She founded Kayyem Solutions, LLC, a firm providing strategic advice in technology, risk management, mega-event planning, and cybersecurity to clients such as Airbnb and the International Centre for Sport Security. Academically, she serves as the Belfer Lecturer in International Security at Harvard Kennedy School. Her public roles include being a CNN on-air security analyst and hosting the podcast 'The SCIF' for WGBH. Her 2016 book, 'Security Mom: An Unclassified Guide to Protecting Our Homeland and Your Home,' reflects her focus on bridging national and domestic security concerns.","朱丽叶特·凯耶姆是一位拥有超过15年经验的安全专家，擅长管理复杂的政策倡议和政府重大危机应对工作。她创立了凯耶姆解决方案有限责任公司，为包括爱彼迎和国际体育安全中心在内的客户提供技术、风险管理、大型活动规划和网络安全方面的战略咨询。在学术界，她担任哈佛大学肯尼迪学院的贝尔弗国际安全讲师。她的公众角色包括担任美国有线电视新闻网的安全分析评论员，以及为波士顿公共广播电台WGBH主持播客节目“The SCIF”。她于2016年出版的著作《安全妈妈：保护我们的国土与家园的非机密指南》体现了她连接国家安全与家庭安全关切的关注点。","Homeland security; Cybersecurity; Risk management; Mega-event planning; Crisis response; International security; Policy initiatives; Strategic advice; Technology; Harvard Kennedy School; Security analyst; Podcast; Supply chains; Federated learning; Disaster resilience; Artificial Intelligence; Analytic tradecraft; Foreign interference","国土安全; 网络安全; 风险管理; 大型活动规划; 危机应对; 国际安全; 政策倡议; 战略咨询; 技术; 哈佛肯尼迪学院; 安全分析员; 播客; 供应链; 联邦学习; 灾害恢复力; 人工智能; 分析技能; 外国干预","Homeland Security; Crisis Management; Cybersecurity; Public Policy; International Relations","国土安全; 危机管理; 网络安全; 公共政策; 国际关系","","","Juliette Kayyem on Office Hours Podcast","https://www.belfercenter.org/publication/juliette-kayyem-office-hours-podcast","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School","All","","Maria Robson-Morrow","","Homeland security; International Security & Defense; National security economics","Homeland security; International Security & Defense; National security economics; North America"
